category;food;protein;fats;carbohydrates
Блюда из яиц;Омлет из яичного порошка;10,3;17,0;1,6
Блюда из яиц;Яйцо. Белок;11,1;0,0;1,0
Блюда из яиц;Яйцо. Белок сухой;82,4;1,8;1,2
Блюда из яиц;Яйцо. Желток;16,2;31,2;0,0
Блюда из яиц;Яйцо. Желток сухой;31,1;52,2;4,7
Блюда из яиц;Яйцо целое;11,9;13,1;0,6
Мясо и мясные продукты;Баранина 1 кат.;15,6;16,3;0,0
Мясо и мясные продукты;Баранина 2 кат.;19,8;9,6;0,0
Мясо и мясные продукты;Говядина 1 кат.;18,6;16,0;0,0
Мясо и мясные продукты;Говядина 2 кат.;20,0;9,8;0,0
Мясо и мясные продукты;Конина 1 кат.;19,5;9,9;0,0
Мясо и мясные продукты;Конина 2 кат.;20,9;4,1;0,0
Мясо и мясные продукты;Мясо кролика;21,2;11,0;0,0
Мясо и мясные продукты;Оленина 1 кат.;19,5;8,5;0,0
Мясо и мясные продукты;Поросята;20,6;3,0;0,0
Мясо и мясные продукты;Свинина беконная;17,0;27,8;0,0
Мясо и мясные продукты;Свинина жареная;11,7;49,3;0,0
Мясо и мясные продукты;Свинина мясная;14,3;33,3;0,0
Мясо и мясные продукты;Телятина 1 кат.;19,7;2,0;0,0
Мясо и мясные продукты;Телятина 2 кат.;20,4;0,9;0,0
Мясо и мясные продукты;Бройлеры (цыплята) 1 кат.;18,7;16,1;0,0
Мясо и мясные продукты;Бройлеры (цыплята) 2 кат.;19,7;11,2;0,0
Мясо и мясные продукты;Гуси 1 кат.;15,2;39,0;0,0
Мясо и мясные продукты;Гуси 2 кат.;17,0;27,7;0,0
Мясо и мясные продукты;Индейки 1 кат.;19,5;22,0;0,0
Мясо и мясные продукты;Индейки 2 кат.;21,6;12,0;0,0
Мясо и мясные продукты;Куры 1 кат.;18,2;18,4;0,0
Мясо и мясные продукты;Куры 2 кат.;21,2;8,2;0,0
Мясо и мясные продукты;Утки 1 кат.;15,8;38,0;0,0
Мясо и мясные продукты;Утки 2 кат.;17,2;24,2;0,0
Мясо и мясные продукты;Говяжьи мозги;11,7;8,6;0,8
Мясо и мясные продукты;Говяжья печень;17,9;3,7;5,3
Мясо и мясные продукты;Говяжьи почки;15,2;2,8;1,9
Мясо и мясные продукты;Говяжье сердце;16,0;3,5;2,0
Мясо и мясные продукты;Говяжий язык;16,0;12,1;2,2
Мясо и мясные продукты;Свиные мозги;10,5;8,6;0,8
Мясо и мясные продукты;Свиная печень;18,8;3,8;4,7
Мясо и мясные продукты;Свиные почки;15,0;3,6;2,7
Мясо и мясные продукты;Свиное сердце;16,2;4,0;2,6
Мясо и мясные продукты;Свиной язык;15,9;16,0;2,1
Мясо и мясные продукты;Баранина тушеная;17,4;13,4;0,2
Мясо и мясные продукты;Ветчина особая;17,6;6,2;0,0
Мясо и мясные продукты;Говядина отварная в собственном соку;15,4;16,9;0,0
Мясо и мясные продукты;Говядина тушеная;16,8;17,0;0,2
Мясо и мясные продукты;Гуляш бараний;14,2;15,6;3,9
Мясо и мясные продукты;Гуляш говяжий;16,8;14,3;3,9
Мясо и мясные продукты;Гуляш свиной;13,1;29,4;3,9
Мясо и мясные продукты;Завтрак туриста (баранина);18,0;15,2;0,2
Мясо и мясные продукты;Завтрак туриста (говядина);20,5;14,9;0,2
Мясо и мясные продукты;Завтрак туриста (свинина);16,9;31,0;0,2
Мясо и мясные продукты;Курица в собственном соку;23,2;9,9;0,4
Мясо и мясные продукты;Мясо в белом соусе (говядина);18,0;14,8;3,6
Мясо и мясные продукты;Паштет мясной (говяжий);16,1;23,3;0,4
Мясо и мясные продукты;Паштет печеночный;11,6;28,1;3,4
Мясо и мясные продукты;Свинина жирная;11,5;48,9;0,0
Мясо и мясные продукты;Свинина тушеная;14,9;32,2;0,2
Мясо и мясные продукты;Утка в собственном соку;16,0;17,5;0,3
Мясо и мясные продукты;Фарш свиной сосисочный;10,6;20,4;4,3
Мясо и мясные продукты;Фарш колбасный куриный;15,0;15,6;0,0
Мясо и мясные продукты;Язык говяжий в желе;22,4;13,6;2,4
Мясо и мясные продукты;Мясо цыплят жареное;26,2;16,0;0,3
Мясо и мясные продукты;Мясо цыплят паровое;23,3;13,3;0,0
Блюда из мяса и мясных продуктов;Барнина, жаренная крупным куском;22,4;19,4;0,0
Блюда из мяса и мясных продуктов;Баранина отварная;21,8;17,4;0,0
Блюда из мяса и мясных продуктов;Баранина тушеная;10,3;12,7;3,6
Блюда из мяса и мясных продуктов;Котлеты отбивные бараньи;20,6;30,6;9,1
Блюда из мяса и мясных продуктов;Котлеты рубленые бараньи;13,6;14,8;12,9
Блюда из мяса и мясных продуктов;Поджарка баранья;19,5;35,1;3,9
Блюда из мяса и мясных продуктов;Рагу из баранины;5,1;10,1;10,1
Блюда из мяса и мясных продуктов;Шницель бараний;21,8;23,2;9,1
Блюда из мяса и мясных продуктов;Азу;6,3;4,0;10,2
Блюда из мяса и мясных продуктов;Антрекот;29,6;11,2;0,0
Блюда из мяса и мясных продуктов;Бефстроганов;16,7;11,3;5,9
Блюда из мяса и мясных продуктов;Биточки паровые (на молоке);14,5;10,8;9,1
Блюда из мяса и мясных продуктов;"Биточки, запеченные под сметанным соусом с
рисом";5,0;5,5;18,5
Блюда из мяса и мясных продуктов;Бифштекс;29,2;11,2;0,0
Блюда из мяса и мясных продуктов;Бифштекс с яйцом;21,5;20,8;0,4
Блюда из мяса и мясных продуктов;Бифштекс рубленый;18,4;25,6;0,0
Блюда из мяса и мясных продуктов;Говядина, жаренная крупным куском;28,4;6,0;0,0
Блюда из мяса и мясных продуктов;Говядина отварная;25,8;16,8;0,0
Блюда из мяса и мясных продуктов;Бутерброд с отварной говядиной;15,2;7,4;28,4
Блюда из мяса и мясных продуктов;Говядина тушеная;13,6;5,4;3,3
Блюда из мяса и мясных продуктов;Жаркое по-домашнему;6,5;4,0;11,1
Блюда из мяса и мясных продуктов;Зразы рубленые;12,1;15,7;13,1
Блюда из мяса и мясных продуктов;Котлеты рубленые говяжьи;14,2;11,4;13,0
Блюда из мяса и мясных продуктов;Закрытый бутерброд с говяжьями котлетами;11,1;6,2;30,2
Блюда из мяса и мясных продуктов;Мясо духовое;6,6;3,8;10,7
Супы;Окрошка сборная мясная со сметаной;2,1;1,7;6,3
Супы;Окрошка мясная на кефире;2,8;1,1;4,3
Блюда из мяса и мясных продуктов;Поджарка говяжья;24,9;13,6;4,0
Блюда из мяса и мясных продуктов;Ромштекс;24,9;11,3;8,6
Блюда из мяса и мясных продуктов;Рулет мясной с луком и яйцом;12,3;7,0;8,1
Блюда из мяса и мясных продуктов;Салат мясной говяжий;5,3;18,8;7,1
Блюда из мяса и мясных продуктов;Сардельки говяжьи отварные;11,4;18,2;1,2
Блюда из мяса и мясных продуктов;Солянка сборная мясная;2,1;2,8;1,3
Блюда из мяса и мясных продуктов;Сосиски говяжьи отварные;10,4;20,0;0,8
Блюда из мяса и мясных продуктов;Тефтели (с пшеничным хлебом);7,4;9,1;9,6
Блюда из мяса и мясных продуктов;Шницель говяжий натуральный рубленый;17,5;24,9;9,0
Блюда из мяса и мясных продуктов;Оладьи из печени;17,5;14,2;11,7
Блюда из мяса и мясных продуктов;Паштет из печени;18,1;11,1;7,0
Блюда из мяса и мясных продуктов;Печень жареная с жиром;22,8;10,2;9,4
Блюда из мяса и мясных продуктов;Печень тушеная в соусе;13,5;9,2;8,6
Блюда из мяса и мясных продуктов;Почки жареные в соусе;13,6;6,1;4,8
Блюда из мяса и мясных продуктов;Почки тушеные;11,1;5,5;5,3
Блюда из мяса и мясных продуктов;Почки по-русски;5,7;3,3;11,3
Блюда из мяса и мясных продуктов;Сердце тушеное в соусе;10,3;6,3;5,0
Блюда из мяса и мясных продуктов;Язык отварной;24,0;15,0;2,7
Блюда из мяса и мясных продуктов;Котлеты отбивные свиные;17,5;40,3;8,8
Блюда из мяса и мясных продуктов;Котлеты свиные натуральные рубленые;13,6;45,7;0,0
Блюда из мяса и мясных продуктов;Поджарка свиная;15,7;49,3;4,2
Блюда из мяса и мясных продуктов;Поросенок жареный;26,4;4,5;0,2
Блюда из мяса и мясных продуктов;Свинина, жаренная крупным куском;19,6;26,2;0,0
Блюда из мяса и мясных продуктов;Свинина отварная;22,5;31,5;0,0
Блюда из мяса и мясных продуктов;Свинина тушеная;9,0;20,4;3,5
Блюда из мяса и мясных продуктов;Шницель свиной;19,0;32,2;8,8
Блюда из мяса и мясных продуктов;Шницель свиной натуральный рубленый;13,5;42,5;9,0
Блюда из мяса и мясных продуктов;Эскалоп свиной;18,1;32,3;0,0
Блюда из мяса и мясных продуктов;Кролик жареный;31,5;12,7;0,1
Блюда из мяса и мясных продуктов;Кролик отварной;25,5;10,4;0,0
Блюда из мяса и мясных продуктов;Рагу из кролика;6,4;6,1;10,4
Блюда из мяса и мясных продуктов;Цыпленок жареный;24,0;18,3;0,1
Блюда из мяса и мясных продуктов;Цыплята жареные табака;24,8;20,2;0,1
Блюда из мяса и мясных продуктов;Цыпленок отварной;21,1;13,6;0,0
Блюда из мяса и мясных продуктов;"Котлеты рубленые из цыплят бройлеров с
гарниром";15,2;13,6;13,5
Блюда из мяса и мясных продуктов;Рагу из цыпленка;6,2;7,1;8,9
Блюда из мяса и мясных продуктов;"Биточки рубленые из птицы, паровые под
белым соусом с рисом";18,6;7,2;9,3
Блюда из мяса и мясных продуктов;Котлеты куриные;18,2;10,4;13,8
Блюда из мяса и мясных продуктов;Курица жареная;23,3;19,8;0,1
Блюда из мяса и мясных продуктов;Курица жареная во фритюре;24,5;11,2;13,3
Блюда из мяса и мясных продуктов;Курица отварная;22,6;17,0;0,0
Блюда из мяса и мясных продуктов;Курица тушеная с овощами;5,5;7,1;9,6
Блюда из мяса и мясных продуктов;Рагу из кур;6,0;8,0;8,5
Блюда из мяса и мясных продуктов;Салат с курицей;5,7;9,9;6,0
Блюда из мяса и мясных продуктов;Фрикадельки из кур или цыплят-бройлеров;18,2;6,5;7,8
Блюда из мяса и мясных продуктов;Котлеты из индейки;18,6;12,2;8,7
Блюда из мяса и мясных продуктов;Индейка жареная;23,4;20,7;0,1
Блюда из мяса и мясных продуктов;Индейка отварная;23,6;19,8;0,0
